date,city,price,state
1988-04-01,WA-Seattle,,WA
1988-04-01,Composite-10,71.65,Composite
1988-04-01,Composite-20,,Composite
1988-04-01,National-US,69.8,National
1988-05-01,AZ-Phoenix,,AZ
1988-05-01,CA-Los Angeles,72.03,CA
1988-05-01,CA-San Diego,61.68,CA
1988-05-01,CA-San Francisco,56.09,CA
1988-05-01,CO-Denver,48.22,CO
1988-05-01,DC-Washington,78.19,DC
1988-05-01,FL-Miami,72.76,FL
1988-05-01,FL-Tampa,79.88,FL
1988-05-01,GA-Atlanta,,GA
1988-05-01,IL-Chicago,65.53,IL
1988-05-01,MA-Boston,74.46,MA
1988-05-01,MI-Detroit,,MI
1988-05-01,MN-Minneapolis,,MN
1988-05-01,NC-Charlotte,67.92,NC
1988-05-01,NV-Las Vegas,67.51,NV
1988-05-01,NY-New York,84.23,NY
1988-05-01,OH-Cleveland,58.25,OH
1988-05-01,OR-Portland,42.58,OR
1988-05-01,TX-Dallas,,TX
1988-05-01,WA-Seattle,,WA
1988-05-01,Composite-10,72.48,Composite
1988-05-01,Composite-20,,Composite
1988-05-01,National-US,70.42,National
1988-06-01,AZ-Phoenix,,AZ
1988-06-01,CA-Los Angeles,74.35,CA
1988-06-01,CA-San Diego,61.54,CA
1988-06-01,CA-San Francisco,58.22,CA
1988-06-01,CO-Denver,48.27,CO
1988-06-01,DC-Washington,79.56,DC
1988-06-01,FL-Miami,73.55,FL
1988-06-01,FL-Tampa,80.25,FL
1988-06-01,GA-Atlanta,,GA
1988-06-01,IL-Chicago,66.85,IL
1988-06-01,MA-Boston,75.07,MA
1988-06-01,MI-Detroit,,MI
1988-06-01,MN-Minneapolis,,MN
1988-06-01,NC-Charlotte,68.14,NC
1988-06-01,NV-Las Vegas,67.18,NV
1988-06-01,NY-New York,84.59,NY
1988-06-01,OH-Cleveland,59.23,OH
1988-06-01,OR-Portland,42.75,OR
1988-06-01,TX-Dallas,,TX
1988-06-01,WA-Seattle,,WA
1988-06-01,Composite-10,73.63,Composite
1988-06-01,Composite-20,,Composite
1988-06-01,National-US,71.08,National
1988-07-01,AZ-Phoenix,,AZ
1988-07-01,CA-Los Angeles,77.22,CA
1988-07-01,CA-San Diego,64.81,CA
1988-07-01,CA-San Francisco,58.7,CA
1988-07-01,CO-Denver,48.33,CO
1988-07-01,DC-Washington,81.25,DC
1988-07-01,FL-Miami,74.13,FL
1988-07-01,FL-Tampa,80.74,FL
1988-07-01,GA-Atlanta,,GA
1988-07-01,IL-Chicago,67.07,IL
1988-07-01,MA-Boston,75.53,MA
1988-07-01,MI-Detroit,,MI
1988-07-01,MN-Minneapolis,,MN
1988-07-01,NC-Charlotte,68.64,NC
1988-07-01,NV-Las Vegas,67.36,NV
1988-07-01,NY-New York,85.02,NY
1988-07-01,OH-Cleveland,59.7,OH
1988-07-01,OR-Portland,43.09,OR
1988-07-01,TX-Dallas,,TX
1988-07-01,WA-Seattle,,WA
1988-07-01,Composite-10,74.81,Composite
1988-07-01,Composite-20,,Composite
1988-07-01,National-US,71.69,National
1988-08-01,AZ-Phoenix,,AZ
1988-08-01,CA-Los Angeles,79.27,CA
1988-08-01,CA-San Diego,65.64,CA
1988-08-01,CA-San Francisco,59.0,CA
1988-08-01,CO-Denver,48.52,CO
1988-08-01,DC-Washington,82.35,DC
1988-08-01,FL-Miami,75.02,FL
1988-08-01,FL-Tampa,80.95,FL
1988-08-01,GA-Atlanta,,GA
1988-08-01,IL-Chicago,68.66,IL
1988-08-01,MA-Boston,75.47,MA
1988-08-01,MI-Detroit,,MI
1988-08-01,MN-Minneapolis,,MN
1988-08-01,NC-Charlotte,69.67,NC
1988-08-01,NV-Las Vegas,68.11,NV
1988-08-01,NY-New York,85.33,NY
1988-08-01,OH-Cleveland,60.32,OH
1988-08-01,OR-Portland,43.54,OR
1988-08-01,TX-Dallas,,TX
1988-08-01,WA-Seattle,,WA
1988-08-01,Composite-10,75.7,Composite
1988-08-01,Composite-20,,Composite
1988-08-01,National-US,72.19,National
1988-09-01,AZ-Phoenix,,AZ
1988-09-01,CA-Los Angeles,81.23,CA
1988-09-01,CA-San Diego,66.45,CA
1988-09-01,CA-San Francisco,59.5,CA
1988-09-01,CO-Denver,48.37,CO
1988-09-01,DC-Washington,83.59,DC
1988-09-01,FL-Miami,75.63,FL
1988-09-01,FL-Tampa,80.78,FL
1988-09-01,GA-Atlanta,,GA
1988-09-01,IL-Chicago,68.71,IL
1988-09-01,MA-Boston,75.38,MA
1988-09-01,MI-Detroit,,MI
1988-09-01,MN-Minneapolis,,MN
1988-09-01,NC-Charlotte,69.93,NC
1988-09-01,NV-Las Vegas,69.06,NV
1988-09-01,NY-New York,85.54,NY
1988-09-01,OH-Cleveland,60.6,OH
1988-09-01,OR-Portland,43.72,OR
1988-09-01,TX-Dallas,,TX
1988-09-01,WA-Seattle,,WA
1988-09-01,Composite-10,76.4,Composite
1988-09-01,Composite-20,,Composite
1988-09-01,National-US,72.58,National
1988-10-01,AZ-Phoenix,,AZ
1988-10-01,CA-Los Angeles,82.94,CA
1988-10-01,CA-San Diego,67.47,CA
1988-10-01,CA-San Francisco,60.37,CA
1988-10-01,CO-Denver,48.27,CO
1988-10-01,DC-Washington,83.94,DC
1988-10-01,FL-Miami,75.86,FL
1988-10-01,FL-Tampa,80.84,FL
1988-10-01,GA-Atlanta,,GA
1988-10-01,IL-Chicago,69.37,IL
1988-10-01,MA-Boston,75.25,MA
1988-10-01,MI-Detroit,,MI
1988-10-01,MN-Minneapolis,,MN
1988-10-01,NC-Charlotte,70.1,NC
1988-10-01,NV-Las Vegas,69.19,NV
1988-10-01,NY-New York,85.14,NY
1988-10-01,OH-Cleveland,60.84,OH
1988-10-01,OR-Portland,44.02,OR
1988-10-01,TX-Dallas,,TX
1988-10-01,WA-Seattle,,WA
1988-10-01,Composite-10,76.9,Composite
1988-10-01,Composite-20,,Composite
1988-10-01,National-US,72.83,National
1988-11-01,AZ-Phoenix,,AZ
1988-11-01,CA-Los Angeles,84.69,CA
